               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085672,             0.02175,                   0,           0.0072333,             0.84766,             0.27455,            0.061479,            0.050975,             0.01687,                   0,            0.070337,           0.0032959,           0.0032959
                   1,            0.064981,             0.01434,                   0,             0.13431,             0.56482,             0.11489,            0.021871,            0.066657,           0.0066401,                   0,            0.040315,           0.0066073,           0.0066073
                   2,            0.061095,            0.010514,                   0,            0.072351,             0.51953,            0.072416,            0.013599,            0.058751,           0.0059886,                   0,            0.010271,           0.0098968,           0.0098968
                   3,            0.058865,           0.0089629,                   0,             0.42845,             0.38281,             0.34609,            0.059877,            0.047613,           0.0060999,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.050574,           0.0086444,                   0,              0.6981,               0.875,             0.82497,             0.27355,            0.038672,           0.0061996,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.045747,           0.0081773,                   0,             0.95702,             0.95667,              0.9802,             0.38267,            0.036461,           0.0054826,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.046196,           0.0077725,                   0,              0.9744,             0.97656,             0.98405,             0.39266,            0.039532,           0.0063564,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.043533,           0.0074353,                   0,             0.84266,              0.8368,             0.84302,             0.31245,            0.032327,           0.0054889,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.036607,           0.0072366,                   0,             0.95536,             0.96484,             0.97906,               0.474,            0.027501,           0.0051393,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.03759,           0.0068969,                   0,             0.98315,             0.98438,             0.98133,             0.51538,            0.026482,           0.0050281,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.034406,           0.0065404,                   0,             0.97522,             0.97656,             0.98819,             0.48631,            0.026691,           0.0048045,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.034754,           0.0066791,                   0,             0.98232,             0.98438,             0.99154,             0.52497,            0.028348,           0.0047503,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.034286,           0.0064568,                   0,             0.98361,             0.98438,             0.98922,              0.5242,            0.026339,           0.0047303,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.034976,           0.0066716,                   0,             0.98372,             0.98438,             0.98431,             0.53558,            0.023179,           0.0046086,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.032813,           0.0064991,                   0,             0.99217,             0.98828,             0.99488,             0.52442,            0.027949,           0.0044505,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.034204,           0.0064153,                   0,             0.97194,             0.97266,             0.98476,             0.47939,            0.023577,           0.0047149,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031895,           0.0063801,                   0,             0.98304,             0.98438,             0.98925,             0.47911,            0.023962,           0.0046759,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.032107,            0.006198,                   0,             0.98061,             0.98768,             0.98297,              0.4713,            0.024625,           0.0046991,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.031922,             0.00621,                   0,             0.98024,             0.98047,             0.98026,             0.54216,            0.022868,           0.0044477,                   0,            0.009439,            0.009439,            0.009439
