               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,                 nan,                 nan,                   0,             0.98157,             0.97656,             0.99192,             0.56597,            0.021403,           0.0043376,                   0,            0.008779,            0.008779,            0.008779
                  39,                 nan,                 nan,                   0,             0.97657,             0.97699,             0.98502,             0.55913,            0.022356,           0.0044565,                   0,            0.008746,            0.008746,            0.008746
                  40,                 nan,                 nan,                   0,             0.97236,             0.96203,              0.9759,             0.45579,            0.029765,           0.0049187,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.04333,           0.0085869,                   0,             0.72556,              0.9088,             0.83732,              0.3144,            0.049791,           0.0082142,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.045854,            0.017018,                   0,              0.5438,             0.85938,              0.6357,             0.25328,            0.037244,            0.015137,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.050604,            0.021878,                   0,             0.30118,             0.80469,             0.33379,            0.096482,            0.041232,            0.017922,                   0,            0.008614,            0.008614,            0.008614
                  44,              0.0643,            0.024098,                   0,             0.22156,             0.75391,              0.2307,            0.064722,            0.054414,            0.022545,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.07483,            0.025404,                   0,             0.19385,             0.74219,             0.20002,            0.056403,            0.062895,            0.025935,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.079939,            0.025849,                   0,             0.16551,             0.76172,             0.16104,            0.043084,             0.07924,            0.025933,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.091043,            0.027506,                   0,             0.12714,             0.72266,             0.11968,            0.031322,            0.089241,            0.026435,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.094409,            0.029036,                   0,             0.12049,             0.72656,             0.11771,            0.029357,            0.090979,            0.027377,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.093996,             0.03127,                   0,             0.11414,             0.73047,             0.11377,            0.028607,            0.091651,            0.032382,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.092858,            0.031174,                   0,             0.11345,             0.73438,             0.10667,            0.025102,            0.090238,            0.027481,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.092458,            0.034179,                   0,             0.11465,                0.75,             0.11098,            0.027225,            0.091663,            0.024959,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.099024,            0.045877,                   0,            0.099598,              0.8125,             0.10314,            0.023477,            0.092263,            0.044223,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.10014,            0.058188,                   0,            0.085315,             0.82812,             0.09165,            0.021363,            0.093137,            0.065269,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.097079,            0.063849,                   0,            0.069891,             0.83203,            0.088906,            0.019435,            0.092011,            0.089595,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.10247,            0.069742,                   0,            0.061915,             0.81641,            0.083347,            0.018395,            0.086996,             0.10399,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.10216,            0.075853,                   0,            0.055955,             0.80469,            0.076367,            0.016388,            0.084699,             0.12005,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.10151,            0.082737,                   0,              0.0496,             0.78906,            0.071847,             0.01536,            0.085076,             0.12989,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.10176,            0.087502,                   0,            0.054145,             0.77734,            0.075199,             0.01466,            0.087587,             0.14104,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.10059,            0.090842,                   0,            0.068493,             0.17578,            0.068319,              0.0134,            0.089556,             0.14825,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.10617,            0.092445,                   0,            0.072136,             0.19922,             0.06659,            0.012722,            0.090621,             0.14736,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.10821,            0.092096,                   0,            0.070263,             0.21875,            0.066187,              0.0116,            0.091331,             0.15573,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.10397,            0.093448,                   0,            0.066132,             0.25781,            0.057361,            0.010004,             0.09209,             0.16345,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.10441,            0.094089,                   0,            0.068077,             0.28906,            0.059592,            0.010924,            0.092577,             0.16441,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.10397,            0.095799,                   0,            0.062972,             0.29297,            0.051116,           0.0087978,            0.093134,             0.16586,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.10746,            0.098816,                   0,            0.060582,             0.29297,            0.049837,           0.0087269,             0.09344,             0.16528,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.10816,            0.098281,                   0,            0.059867,             0.31641,             0.04777,           0.0080842,            0.093918,             0.17114,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.10752,             0.10006,                   0,            0.057479,             0.32422,            0.042864,           0.0070148,            0.094312,             0.17714,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.10564,             0.10245,                   0,            0.056017,             0.31641,            0.041943,           0.0068059,            0.094536,             0.17176,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.10434,             0.10592,                   0,            0.054777,             0.33594,             0.04036,            0.006445,            0.094931,             0.17528,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.10779,             0.10638,                   0,            0.051572,             0.32031,            0.038975,            0.006284,            0.095135,             0.17655,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.10564,             0.10781,                   0,            0.049208,             0.33984,            0.036226,            0.005666,            0.095629,             0.18408,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.10735,             0.10901,                   0,            0.049308,             0.32031,            0.036684,           0.0057648,            0.095542,             0.17825,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.10707,             0.11187,                   0,            0.047244,             0.32812,            0.034775,           0.0053772,            0.095881,              0.1858,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.10508,             0.11053,                   0,            0.044889,             0.32422,            0.033184,           0.0049748,            0.096173,             0.18758,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.10897,             0.11277,                   0,            0.045913,             0.32031,            0.032898,           0.0049128,             0.09614,             0.18642,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.10726,             0.11585,                   0,            0.038622,             0.28906,            0.028458,           0.0043382,            0.096531,             0.19187,                   0,            0.007525,            0.007525,            0.007525
                  77,             0.10459,             0.11636,                   0,            0.039811,             0.29688,            0.029072,           0.0043947,            0.096603,             0.18989,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.10711,             0.11671,                   0,            0.038768,             0.28516,            0.025551,           0.0038293,            0.096676,              0.1871,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.10799,             0.11962,                   0,            0.037194,             0.27344,            0.027104,           0.0041705,            0.096766,              0.1868,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.10735,             0.12056,                   0,            0.035317,             0.28516,            0.022897,           0.0035871,            0.097233,             0.20255,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.10747,             0.12131,                   0,            0.034924,             0.27734,            0.023498,           0.0035576,            0.097243,             0.19913,                   0,             0.00736,             0.00736,             0.00736
                  82,             0.10776,             0.12378,                   0,            0.033152,             0.26172,            0.021687,            0.003399,            0.097274,             0.20189,                   0,            0.007327,            0.007327,            0.007327
                  83,             0.10417,             0.12212,                   0,            0.032918,             0.25781,            0.022251,           0.0034396,            0.097326,             0.19329,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.10641,             0.12581,                   0,            0.032148,             0.25781,            0.022123,           0.0032927,            0.097507,             0.20343,                   0,            0.007261,            0.007261,            0.007261
                  85,              0.1062,             0.12545,                   0,             0.03117,             0.23828,            0.021236,            0.003368,            0.097408,             0.18579,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.10597,             0.12497,                   0,            0.028379,             0.23047,            0.019317,           0.0029057,             0.09774,             0.20436,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.10803,             0.12815,                   0,            0.030303,             0.24609,            0.021651,            0.003321,             0.09778,             0.19992,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.10992,             0.12879,                   0,            0.034096,             0.34004,            0.019291,           0.0030664,            0.097747,             0.19457,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.10625,             0.12934,                   0,            0.027416,             0.23047,            0.016942,            0.002646,            0.098045,             0.21019,                   0,            0.007096,            0.007096,            0.007096
                  90,              0.1099,              0.1297,                   0,            0.026636,             0.22266,             0.01665,           0.0025669,            0.098117,             0.21385,                   0,            0.007063,            0.007063,            0.007063
                  91,               0.107,             0.13128,                   0,            0.033187,             0.42578,            0.017019,           0.0026131,            0.098177,             0.20961,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.10624,             0.13414,                   0,            0.031943,             0.46094,            0.018831,           0.0028923,            0.098144,             0.21187,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.10897,             0.12919,                   0,            0.033019,             0.44922,            0.016546,           0.0026297,            0.098142,             0.19712,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.10843,             0.13263,                   0,            0.028151,             0.41016,            0.014023,           0.0022535,             0.09853,             0.21095,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.10849,             0.13308,                   0,            0.029125,             0.41797,            0.014599,           0.0023405,              0.0986,             0.22107,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.10636,             0.13369,                   0,            0.028435,             0.42578,            0.016237,           0.0025488,            0.098528,             0.20558,                   0,            0.006865,            0.006865,            0.006865
                  97,              0.1093,             0.13323,                   0,            0.025815,             0.41797,            0.014445,           0.0022785,            0.098667,             0.20801,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.10783,             0.13416,                   0,            0.027742,             0.39844,            0.013669,            0.002192,            0.098896,             0.22131,                   0,            0.006799,            0.006799,            0.006799
                  99,               0.111,             0.13241,                   0,            0.026542,             0.41406,            0.014378,           0.0022844,            0.098759,             0.19956,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.10663,             0.13436,                   0,            0.025776,             0.41797,            0.013866,            0.002172,            0.098835,             0.20099,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.10773,             0.13346,                   0,            0.024364,             0.41016,            0.013402,            0.002089,            0.098936,             0.19829,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.10838,             0.13531,                   0,            0.024955,             0.41016,            0.013347,           0.0021432,            0.098939,              0.1994,                   0,            0.006667,            0.006667,            0.006667
                 103,             0.10856,             0.13678,                   0,            0.024623,             0.39453,            0.012306,           0.0020124,            0.099127,             0.21472,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.11117,             0.13586,                   0,            0.024479,             0.39844,            0.014821,           0.0021553,            0.099231,             0.21019,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.10972,             0.13783,                   0,            0.023348,             0.40234,            0.013543,           0.0021803,             0.09925,              0.2053,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.11038,             0.14039,                   0,            0.022461,             0.38672,            0.011998,           0.0019387,            0.099326,             0.21289,                   0,            0.006535,            0.006535,            0.006535
                 107,             0.10856,             0.13782,                   0,            0.021575,               0.375,            0.010982,           0.0017513,            0.099479,             0.20424,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.10987,             0.13746,                   0,            0.019348,             0.35156,            0.010242,           0.0016379,             0.09963,             0.21897,                   0,            0.006469,            0.006469,            0.006469
                 109,              0.1081,             0.13954,                   0,            0.021423,             0.37109,             0.01081,           0.0016716,            0.099577,             0.21108,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.10725,             0.13979,                   0,            0.020628,             0.35547,           0.0099516,           0.0015849,             0.09961,             0.20735,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.11234,             0.13906,                   0,             0.02028,             0.35938,            0.010707,           0.0017118,            0.099713,             0.20166,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.10956,             0.13947,                   0,            0.020878,             0.35938,            0.010108,            0.001655,             0.09968,             0.19992,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.10861,             0.14045,                   0,            0.019409,             0.34766,           0.0091998,           0.0015228,            0.099848,             0.21172,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.11103,             0.13847,                   0,            0.019558,             0.34766,           0.0091198,           0.0014693,            0.099866,             0.20199,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.10808,             0.14199,                   0,            0.018505,             0.33984,           0.0089758,           0.0014671,            0.099945,             0.21814,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.10693,             0.13909,                   0,            0.019921,             0.34766,           0.0089548,            0.001435,            0.099846,             0.19033,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.11045,             0.14174,                   0,            0.019649,             0.34375,            0.009375,           0.0014786,            0.099926,             0.19017,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.10738,             0.14373,                   0,             0.02085,             0.35156,           0.0096102,           0.0015503,            0.099845,             0.19782,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.10789,             0.14363,                   0,            0.019912,             0.34766,           0.0091297,           0.0015123,             0.09992,             0.19501,                   0,            0.006106,            0.006106,            0.006106
                 120,             0.11386,             0.14277,                   0,            0.016557,             0.32031,           0.0078533,           0.0012825,             0.10022,             0.21418,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.10913,             0.14343,                   0,            0.019641,             0.33594,           0.0087604,           0.0014339,            0.099863,              0.1885,                   0,             0.00604,             0.00604,             0.00604
                 122,             0.11068,             0.14209,                   0,            0.018216,             0.32031,           0.0079942,           0.0013445,             0.10005,              0.1938,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.10475,             0.14446,                   0,              0.0184,             0.33203,           0.0082123,           0.0013214,             0.10015,              0.2035,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.11275,             0.14202,                   0,            0.018147,             0.32031,           0.0077836,           0.0013117,             0.10016,             0.19377,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.10907,             0.14697,                   0,            0.017784,             0.31641,            0.007794,           0.0012458,             0.10033,             0.20866,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.10927,              0.1439,                   0,            0.017545,             0.30859,           0.0072837,           0.0012095,             0.10023,              0.1974,                   0,            0.005875,            0.005875,            0.005875
                 127,             0.11173,             0.14693,                   0,            0.014966,             0.28516,           0.0062316,           0.0010562,             0.10031,             0.21397,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.10705,             0.14573,                   0,            0.016586,             0.28906,           0.0064089,            0.001061,             0.10025,             0.19255,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.10773,             0.14438,                   0,             0.01618,             0.28906,           0.0062699,           0.0010303,              0.1003,             0.19165,                   0,            0.005776,            0.005776,            0.005776
                 130,             0.10987,             0.14357,                   0,            0.016205,             0.28906,           0.0063604,           0.0010237,             0.10037,             0.18652,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.11043,             0.14576,                   0,            0.015958,             0.28125,           0.0061373,           0.0010619,             0.10031,             0.18678,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.10907,             0.14334,                   0,            0.015578,             0.27734,            0.006935,           0.0010804,              0.1004,             0.17846,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.10859,             0.14511,                   0,            0.013077,             0.25391,           0.0051491,          0.00083024,             0.10068,             0.21146,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.10824,             0.14402,                   0,            0.013212,             0.25391,           0.0049402,          0.00078831,             0.10061,             0.20308,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.11336,             0.14573,                   0,            0.014628,             0.25781,           0.0054862,          0.00089197,             0.10039,             0.17806,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.10947,             0.14579,                   0,             0.01321,             0.23828,           0.0051345,          0.00083307,             0.10051,             0.18848,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.10877,             0.14564,                   0,            0.013023,             0.24609,           0.0047106,          0.00080573,             0.10056,             0.19056,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.11004,             0.14591,                   0,            0.012966,             0.24609,           0.0052088,          0.00085378,             0.10063,             0.19541,                   0,            0.005479,            0.005479,            0.005479
