               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10343,            0.021796,                   0,          8.3333e-05,           0.0094518,          4.2083e-05,          4.2083e-06,            0.075452,            0.013367,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.082881,            0.017004,                   0,             0.14572,             0.36484,             0.10623,            0.018652,            0.067859,           0.0082693,                   0,             0.04066,           0.0065692,           0.0065692
                   2,            0.068462,            0.011194,                   0,             0.32432,             0.58223,             0.33311,            0.072288,            0.055961,           0.0066543,                   0,            0.010616,           0.0098587,           0.0098587
                   3,            0.065277,           0.0094013,                   0,             0.57303,             0.84121,             0.71187,             0.24398,            0.045107,           0.0070079,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.055991,           0.0091075,                   0,             0.45301,             0.87204,             0.53456,             0.13357,             0.04737,           0.0062757,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.056955,           0.0084359,                   0,             0.79729,             0.79206,             0.82193,             0.21337,             0.03832,           0.0071431,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.049798,           0.0082731,                   0,             0.63321,              0.8126,             0.80748,             0.25674,            0.035162,           0.0061949,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.045305,           0.0080232,                   0,             0.83145,             0.76749,             0.85685,             0.22623,            0.034722,            0.005651,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.045079,           0.0077377,                   0,             0.94094,             0.96368,              0.9694,             0.33161,            0.041199,           0.0052717,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.043015,            0.007486,                   0,             0.97957,             0.97921,             0.98919,             0.44167,            0.029709,           0.0051528,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044942,           0.0072623,                   0,             0.96072,             0.96219,             0.98419,             0.46619,            0.027839,           0.0051857,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.03834,           0.0069377,                   0,             0.99183,             0.99055,             0.99441,             0.47827,            0.031421,           0.0050575,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.040288,           0.0066451,                   0,                0.96,             0.96219,             0.96669,             0.37986,            0.032853,           0.0050235,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.039373,           0.0067148,                   0,             0.98857,             0.98866,              0.9901,             0.49688,              0.0252,           0.0052032,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.037731,           0.0066709,                   0,             0.98859,             0.98866,             0.99308,             0.47696,             0.02647,           0.0050464,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.037203,           0.0067308,                   0,             0.98165,             0.98299,             0.98434,             0.43698,            0.025702,           0.0051096,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.035834,           0.0065749,                   0,             0.98485,             0.98304,             0.98319,             0.45846,            0.029115,           0.0048853,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.03602,           0.0064146,                   0,             0.98817,             0.98488,             0.98955,             0.49143,            0.028305,           0.0044924,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.034781,            0.006398,                   0,             0.98112,             0.97732,             0.98744,             0.44295,            0.025446,            0.004708,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.033535,           0.0063222,                   0,              0.9782,              0.9811,             0.98871,             0.50347,            0.022591,           0.0045436,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.035275,           0.0064135,                   0,             0.97454,             0.97353,             0.96933,             0.41154,            0.024543,           0.0052062,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.03356,           0.0062238,                   0,             0.98083,             0.98299,             0.98461,             0.50013,            0.023811,           0.0045346,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.031828,           0.0060303,                   0,             0.97547,             0.97712,             0.98365,              0.4659,            0.023338,           0.0045481,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033622,           0.0060312,                   0,             0.98243,             0.98488,             0.99237,             0.50079,            0.022165,           0.0044648,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.032145,           0.0062412,                   0,             0.98109,             0.98079,             0.98972,             0.48936,              0.0219,           0.0044235,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.032457,            0.005953,                   0,             0.99024,             0.99055,             0.99255,             0.49042,            0.022071,           0.0045226,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.031864,           0.0060519,                   0,              0.9661,              0.9696,             0.98152,             0.40408,            0.026053,           0.0046849,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.032684,           0.0059991,                   0,             0.99193,             0.99433,             0.99477,             0.51481,            0.022419,            0.004498,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.03418,           0.0062264,                   0,             0.99215,             0.99433,             0.99408,             0.50674,            0.022372,           0.0045237,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.034177,           0.0059053,                   0,             0.98455,             0.98677,              0.9933,             0.45508,            0.023593,           0.0044657,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.030423,           0.0057554,                   0,             0.98838,             0.99055,              0.9944,             0.52253,            0.022779,           0.0043536,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.032463,           0.0060575,                   0,             0.99055,             0.99109,              0.9946,             0.48171,            0.023674,           0.0045105,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.030578,           0.0056846,                   0,             0.97904,              0.9811,              0.9875,             0.43234,            0.023071,           0.0045851,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027094,           0.0058282,                   0,             0.98835,             0.99055,             0.99452,             0.51433,            0.022566,           0.0044085,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.030463,           0.0057726,                   0,             0.98946,             0.99055,             0.99432,             0.52321,            0.023064,           0.0043465,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030666,           0.0057463,                   0,             0.98616,             0.98866,             0.98968,             0.46656,            0.022649,           0.0045655,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.030699,           0.0060133,                   0,             0.99052,             0.98777,              0.9898,             0.45175,            0.023417,           0.0045256,                   0,            0.008845,            0.008845,            0.008845
                  37,               0.031,           0.0056974,                   0,             0.98831,             0.99055,             0.99305,             0.49045,            0.022306,           0.0044255,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031412,           0.0055859,                   0,             0.98844,             0.98866,             0.99275,             0.46962,            0.022208,           0.0045634,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.031446,           0.0057177,                   0,             0.98503,             0.98488,             0.99111,             0.46267,            0.023759,           0.0044688,                   0,            0.008746,            0.008746,            0.008746
