               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13481,            0.026749,                   0,                   0,                   0,                   0,                   0,            0.096656,            0.015965,                   0,               0.091,               0.001,               0.001
                   1,             0.12587,            0.021314,                   0,                   0,                   0,                   0,                   0,            0.095935,            0.012673,                   0,            0.081093,           0.0020931,           0.0020931
                   2,             0.10321,            0.017416,                   0,          3.3333e-05,           0.0037807,          1.6793e-05,          4.1894e-06,            0.088605,           0.0091581,                   0,            0.071179,           0.0031789,           0.0031789
                   3,            0.099582,            0.014925,                   0,             0.36267,             0.13422,             0.14598,            0.024019,            0.067213,           0.0097618,                   0,            0.061257,           0.0042574,           0.0042574
                   4,            0.092741,            0.012688,                   0,            0.042782,             0.21172,            0.027004,           0.0044362,            0.057972,           0.0077298,                   0,            0.051329,           0.0053287,           0.0053287
                   5,            0.092445,            0.012288,                   0,             0.36088,             0.56333,             0.33643,            0.081965,            0.056939,           0.0075357,                   0,            0.041393,           0.0063927,           0.0063927
                   6,            0.086142,            0.010423,                   0,           0.0098275,            0.017013,            0.001165,          0.00019504,             0.07892,            0.008649,                   0,             0.03145,           0.0074495,           0.0074495
                   7,            0.083933,            0.010993,                   0,            0.069536,             0.38185,            0.045741,           0.0082721,             0.06924,            0.013314,                   0,            0.021499,            0.008499,            0.008499
                   8,            0.075668,            0.010457,                   0,            0.046183,             0.49527,            0.029312,           0.0050224,            0.078274,            0.094173,                   0,            0.011541,           0.0095413,           0.0095413
                   9,            0.074784,            0.010663,                   0,             0.14064,             0.79726,             0.16109,            0.038327,            0.059279,            0.024643,                   0,            0.009703,            0.009703,            0.009703
                  10,            0.073641,            0.010061,                   0,             0.11684,             0.64461,             0.18022,            0.035566,            0.058722,            0.088099,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.064665,           0.0093763,                   0,             0.24335,               0.862,             0.31597,            0.083025,            0.057217,            0.028363,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.063581,           0.0089556,                   0,             0.26053,             0.87912,             0.43766,             0.10344,            0.050453,            0.012315,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.05574,           0.0085424,                   0,             0.18805,             0.81853,             0.26332,            0.055672,            0.059875,             0.13792,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.06442,           0.0084901,                   0,             0.46918,             0.75614,             0.57669,             0.20599,             0.04174,            0.025233,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.054492,           0.0085575,                   0,             0.62911,             0.88469,             0.73263,             0.22388,            0.037871,           0.0094119,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.057629,           0.0084363,                   0,              0.7577,             0.85633,             0.78619,             0.18194,            0.040184,           0.0063616,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.054337,           0.0079502,                   0,             0.94244,             0.95652,             0.93687,             0.32608,            0.032033,           0.0055977,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.049729,           0.0079897,                   0,             0.86052,             0.90966,             0.90128,             0.31085,            0.033133,           0.0053101,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.051412,           0.0075676,                   0,             0.91863,              0.9177,             0.95054,             0.35729,            0.031235,           0.0052671,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.050713,           0.0077376,                   0,             0.77445,             0.79395,             0.71262,             0.18928,            0.034936,            0.005808,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.044169,            0.007315,                   0,              0.8919,             0.90464,             0.90717,             0.31469,             0.03014,           0.0052558,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.051091,           0.0071381,                   0,             0.69955,             0.68809,             0.73225,             0.21077,            0.036768,           0.0053429,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.052812,           0.0070042,                   0,               0.881,             0.94329,             0.94923,             0.40348,            0.028351,           0.0053804,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.044211,           0.0072537,                   0,             0.85931,              0.9603,             0.90796,             0.39574,            0.025819,           0.0055166,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.049342,             0.00683,                   0,             0.87377,             0.87146,             0.85811,              0.2588,            0.032951,           0.0052392,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.046577,           0.0069506,                   0,             0.83348,             0.83263,             0.84377,             0.21632,             0.03569,           0.0055098,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.04625,           0.0068696,                   0,             0.89741,              0.8929,             0.92401,             0.29664,            0.034245,           0.0052187,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.045333,           0.0069325,                   0,             0.83568,             0.94213,             0.92796,              0.3266,            0.029076,           0.0056189,                   0,            0.009109,            0.009109,            0.009109
